South Dakota,666257,690768,755707,758803,761633,765980,773087,778775,786973,795521,803047,810814,816193,823740,833859,842751,849670,854663,863693,873732,879386,887127,892717
Tennessee,3926018,4591023,5703129,5754748,5802304,5856712,5918897,5997481,6090290,6172788,6239542,6291220,6355518,6400298,6455752,6496943,6544617,6595354,6651277,6714748,6778180,6830325,6886834
Texas,11198657,14225512,20944937,21330190,21705766,22048452,22408514,22790696,23356591,23824518,24290611,24770651,25241897,25645504,26084120,26479646,26963092,27468531,27914064,28291024,28624564,28986794,29360759
Utah,1059273,1461037,2244207,2290966,2334425,2378255,2438195,2498863,2582234,2662908,2724685,2780871,2775413,2814797,2854146,2898773,2938327,2983626,3044241,3103540,3155153,3203383,3249879
Vermont,444732,511456,609658,611889,614753,616700,618120,618797,619916,620438,620967,621436,625886,627197,626361,626603,625693,625810,624366,625132,624802,624046,623347
Virginia,4651448,5346797,7105425,7191579,7277452,7352164,7453994,7547753,7633859,7705466,7780691,7862480,8024004,8102437,8187456,8255861,8315430,8367303,8417651,8471011,8510920,8556642,8590563
Washington,3413244,4132353,5911439,5988346,6056348,6108738,6181646,6258988,6371097,6464167,6566085,6671597,6743009,6827479,6898599,6966252,7057531,7167287,7299961,7427951,7526793,7614024,7693612
West Virginia,1744237,1950183,1806694,1798190,1799219,1802916,1803462,1804128,1808136,1812295,1816352,1821290,1854265,1856606,1857446,1854768,1850569,1843332,1832435,1818683,1805953,1795263,1784787
Wisconsin,4417821,4705642,5373849,5408099,5446571,5479542,5512205,5542096,5571510,5601508,5627257,5650751,5690538,5705840,5720825,5738012,5753199,5762927,5775170,5793147,5809319,5824581,5832655
Wyoming,332416,469557,493980,492976,496930,498865,502742,506002,512664,523226,532626,544391,564531,567491,576656,582620,583159,586389,585243,579994,579054,580116,582328
